index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
jul-18,1,0,0,4,2,0,0,0,0,0,0,0,0,9," 74,190 "
ago-18,1,0,0,5,2,0,0,0,0,0,0,0,0,9," 59,598 "
sep-18,1,0,0,5,1,0,0,0,0,0,0,0,0,9," 47,576 "
oct-18,1,0,0,5,1,0,0,1,0,0,0,0,0,9," 37,458 "
nov-18,1,0,0,5,1,0,0,1,0,0,0,0,0,9," 28,794 "
dic-18,2,0,0,5,1,0,0,1,0,0,0,0,0,9," 22,162 "
ene-19,1,0,0,0,5,0,0,0,0,0,0,0,0,6," 195,689 "
feb-19,1,0,0,0,5,0,0,0,0,0,0,0,0,6," 178,763 "
mar-19,1,0,0,0,4,0,0,0,0,0,0,0,0,6," 160,811 "
abr-19,1,0,0,1,4,0,0,0,0,0,0,0,0,6," 147,216 "
may-19,1,0,0,1,4,0,0,0,0,0,0,0,0,6," 133,801 "
jun-19,1,0,0,1,3,0,0,0,0,0,0,0,0,6," 121,663 "
jul-19,1,0,0,1,3,0,0,0,0,0,0,0,0,6," 108,168 "
ago-19,1,0,0,1,3,0,0,0,0,0,0,0,0,6," 95,162 "
sep-19,1,0,0,1,2,0,0,0,0,0,0,0,0,6," 82,423 "
oct-19,1,0,0,2,2,0,0,0,0,0,0,0,0,6," 69,852 "
nov-19,1,0,0,2,2,0,0,1,0,0,0,0,0,6," 57,108 "
dic-19,1,0,0,2,1,0,0,1,0,0,0,0,0,6," 44,835 "
ene-20,1,0,0,0,8,0,0,0,0,0,0,0,0,9," 352,892 "
feb-20,1,0,0,0,7,0,0,0,0,0,0,0,0,9," 328,133 "
mar-20,1,0,0,1,7,0,0,0,0,0,0,0,0,9," 305,904 "
abr-20,1,0,0,1,6,0,0,0,0,0,0,0,0,9," 288,536 "
may-20,1,0,0,1,6,0,0,0,0,0,0,0,0,9," 266,776 "
jun-20,1,0,0,2,5,0,0,0,0,0,0,0,0,9," 244,605 "
jul-20,1,0,0,2,5,0,0,0,0,0,0,0,0,9," 219,990 "
ago-20,1,0,0,3,3,0,0,0,0,0,0,0,0,9," 157,962 "
sep-20,1,0,0,4,3,0,0,0,0,0,0,0,0,9," 134,656 "
oct-20,1,0,0,4,3,0,0,0,0,0,0,0,0,9," 114,550 "
nov-20,1,0,0,4,2,0,0,1,0,0,0,0,0,9," 94,237 "
dic-20,1,0,0,5,2,0,0,1,0,0,0,0,0,9," 74,681 "
Saldados +15,,,,,,,,,,,,,,,
ene-16,1,0,0,0,0,0,69,0,0,0,0,0,0,70," 2,320,251 "
feb-16,1,0,0,0,0,0,68,0,0,0,0,0,0,70," 2,343,307 "
mar-16,2,0,0,0,0,0,67,0,0,0,0,0,0,70," 2,366,257 "
abr-16,2,0,0,0,0,0,67,1,0,0,0,0,0,70," 2,407,043 "
may-16,2,0,0,0,0,0,66,1,0,0,0,0,0,70," 2,432,658 "
jun-16,3,0,0,0,0,0,66,1,0,0,0,0,0,70," 2,449,591 "
jul-16,3,0,0,0,0,0,65,1,0,0,0,0,0,70," 2,480,595 "
ago-16,3,0,0,0,0,0,64,1,0,0,0,0,0,70," 2,499,805 "
sep-16,3,0,0,0,0,0,64,2,0,0,0,0,0,70," 2,531,836 "
oct-16,3,0,0,0,0,0,64,2,0,0,0,0,0,70," 2,555,013 "
nov-16,4,0,0,0,0,0,63,2,0,0,0,0,0,70," 2,576,552 "
dic-16,4,0,0,0,0,0,62,2,0,0,0,0,0,70," 2,586,753 "
ene-17,1,0,0,0,0,0,72,0,0,0,0,0,0,72," 2,610,220 "
feb-17,1,0,0,0,0,0,71,0,0,0,0,0,0,72," 2,638,767 "
mar-17,2,0,0,0,0,0,70,0,0,0,0,0,0,72," 2,665,600 "
abr-17,2,0,0,0,0,0,70,1,0,0,0,0,0,72," 2,709,969 "
may-17,2,0,0,0,0,0,69,1,0,0,0,0,0,72," 2,741,563 "
jun-17,3,0,0,0,0,0,68,1,0,0,0,0,0,72," 2,765,669 "
jul-17,3,0,0,0,0,0,68,1,0,0,0,0,0,72," 2,787,202 "
ago-17,3,0,0,0,0,0,67,2,0,0,0,0,0,72," 2,812,143 "
sep-17,3,0,0,0,0,0,67,2,0,0,0,0,0,72," 2,847,379 "
oct-17,3,0,0,0,0,0,66,2,0,0,0,0,0,72," 2,875,768 "
nov-17,4,0,0,0,0,0,66,2,0,0,0,0,0,72," 2,897,040 "
dic-17,4,0,0,0,0,0,65,2,0,0,0,0,0,72," 2,906,399 "
ene-18,1,0,0,0,0,0,76,0,0,0,0,0,0,77," 2,933,081 "
feb-18,1,0,0,0,0,0,75,0,0,0,0,0,0,77," 2,965,628 "
mar-18,2,0,0,0,0,0,75,1,0,0,0,0,0,77," 2,992,023 "
abr-18,2,0,0,0,0,0,74,1,0,0,0,0,0,77," 3,040,698 "
may-18,3,0,0,0,0,0,73,1,0,0,0,0,0,77," 3,070,137 "
jun-18,3,0,0,0,0,0,72,1,0,0,0,0,0,77," 3,088,978 "
jul-18,3,0,0,0,0,0,72,2,0,0,0,0,0,77," 3,106,875 "
ago-18,3,0,0,0,0,0,71,2,0,0,0,0,0,77," 3,122,958 "
sep-18,4,0,0,0,0,0,71,2,0,0,0,0,0,77," 3,151,879 "
oct-18,4,0,0,0,0,0,70,2,0,0,0,0,0,77," 3,176,461 "
nov-18,4,0,0,0,0,0,69,2,0,0,0,0,0,77," 3,194,210 "
dic-18,4,0,0,0,0,0,69,3,0,0,0,0,0,77," 3,197,190 "
ene-19,1,0,0,0,0,0,78,0,0,0,0,0,0,79," 3,217,074 "
feb-19,1,0,0,0,0,0,77,0,0,0,0,0,0,79," 3,244,964 "
mar-19,2,0,0,0,0,0,77,1,0,0,0,0,0,79," 3,268,245 "
abr-19,2,0,0,0,0,0,76,1,0,0,0,0,0,79," 3,313,982 "
may-19,3,0,0,0,0,0,75,1,0,0,0,0,0,79," 3,341,461 "
jun-19,3,0,0,0,0,0,74,1,0,0,0,0,0,79," 3,357,211 "
jul-19,3,0,0,0,0,0,74,2,0,0,0,0,0,79," 3,373,989 "
ago-19,3,0,0,0,0,0,73,2,0,0,0,0,0,79," 3,389,691 "
sep-19,4,0,0,0,0,0,72,2,0,0,0,0,0,79," 3,415,871 "
oct-19,4,0,0,0,0,0,72,2,0,0,0,0,0,79," 3,441,445 "
nov-19,4,0,0,0,0,0,71,2,0,0,0,0,0,79," 3,456,110 "
dic-19,4,0,0,0,0,0,70,3,0,0,0,0,0,79," 3,459,655 "
ene-20,1,0,0,0,0,0,79,0,0,0,0,0,0,80," 3,481,654 "
feb-20,1,0,0,0,0,0,78,0,0,0,0,0,0,80," 3,511,164 "
mar-20,1,0,0,0,0,0,78,1,0,0,0,0,0,80," 3,548,300 "
abr-20,1,0,0,0,0,0,78,1,0,0,0,0,0,80," 3,623,371 "
may-20,1,0,0,0,0,0,77,1,0,0,0,0,0,80," 3,682,265 "
jun-20,2,0,0,0,0,0,77,1,0,0,0,0,0,80," 3,722,502 "
jul-20,2,0,0,0,0,0,76,1,0,0,0,0,0,80," 3,767,010 "
ago-20,2,0,0,0,0,0,76,1,0,0,0,0,0,80," 3,802,174 "
sep-20,2,0,0,0,0,0,75,2,0,0,0,0,0,80," 3,853,160 "
oct-20,3,0,0,0,0,0,75,2,0,0,0,0,0,80," 3,904,251 "
nov-20,3,0,0,0,0,0,74,2,0,0,0,0,0,80," 3,943,167 "
dic-20,3,0,0,0,0,0,74,2,0,0,0,0,0,80," 3,975,775 "
Saldados 0-15,,,,,,,,,,,,,,,
ene-16,12,0,0,0,0,0,1,68,0,0,0,0,0,82," 2,784,947 "
feb-16,17,0,0,0,0,0,3,61,0,0,1,0,0,82," 2,806,663 "
mar-16,20,0,0,0,0,0,4,55,0,0,1,0,0,82," 2,778,408 "
abr-16,23,0,0,0,0,0,6,50,0,0,1,1,0,82," 2,752,513 "
may-16,25,0,0,0,0,0,7,46,0,0,2,1,0,82," 2,755,760 "
jun-16,26,0,0,0,0,1,8,43,0,0,2,1,0,82," 2,771,209 "
jul-16,27,0,0,0,0,1,10,40,0,1,2,1,1,82," 2,750,020 "
ago-16,27,0,0,0,0,1,11,37,0,1,2,1,1,82," 2,730,722 "
sep-16,27,0,0,0,0,1,12,35,0,2,3,1,1,82," 2,740,303 "
oct-16,27,0,0,0,0,1,13,33,0,2,3,1,1,82," 2,746,243 "
nov-16,27,0,0,0,0,1,14,31,0,3,3,1,1,82," 2,701,161 "
dic-16,28,0,0,0,0,1,15,30,0,3,2,1,1,82," 2,671,983 "
ene-17,11,0,0,0,0,0,1,69,0,0,0,0,0,82," 3,078,870 "
feb-17,16,0,0,0,0,0,3,63,0,0,1,0,0,82," 3,089,779 "
mar-17,19,0,0,0,0,0,4,57,0,0,1,0,0,82," 3,084,317 "
abr-17,22,0,0,0,0,0,6,52,0,0,1,1,0,82," 2,998,611 "
may-17,24,0,0,0,0,0,8,48,0,0,2,1,0,82," 2,994,510 "
jun-17,25,0,0,0,0,0,9,44,0,0,2,1,0,82," 2,992,870 "
jul-17,26,0,0,0,0,0,10,41,0,1,2,1,1,82," 2,955,231 "
ago-17,26,0,0,0,0,0,11,39,0,1,2,1,1,82," 2,907,393 "
sep-17,26,0,0,0,0,0,13,36,0,2,3,1,1,82," 2,901,020 "
oct-17,26,0,0,0,0,1,14,34,0,2,2,1,1,82," 2,862,414 "
nov-17,27,0,0,0,0,1,15,32,0,3,2,1,1,82," 2,783,033 "
dic-17,28,0,0,0,0,1,16,30,0,3,2,1,1,82," 2,730,913 "
ene-18,11,0,0,0,0,0,2,66,0,0,0,0,0,78," 3,108,168 "
feb-18,15,0,0,0,0,0,3,60,0,0,1,0,0,78," 3,107,645 "
mar-18,19,0,0,0,0,0,5,54,0,0,1,0,0,78," 3,046,852 "
abr-18,21,0,0,0,0,0,7,49,0,0,1,1,0,78," 3,004,968 "
may-18,22,0,0,0,0,0,8,45,0,0,1,1,0,78," 2,989,743 "
jun-18,23,0,0,0,0,0,9,42,0,0,2,1,0,78," 2,989,434 "
jul-18,25,0,0,0,0,0,10,40,0,1,2,1,0,78," 2,956,228 "
ago-18,25,0,0,0,0,0,11,37,0,1,2,1,1,78," 2,902,305 "
sep-18,25,0,0,0,0,0,13,35,0,1,2,1,1,78," 2,883,664 "
oct-18,25,0,0,0,0,1,14,33,0,2,2,1,1,78," 2,862,211 "
nov-18,26,0,0,0,0,1,15,31,0,2,2,1,1,78," 2,785,082 "
dic-18,27,0,0,0,0,1,16,29,0,2,2,1,1,78," 2,723,469 "
ene-19,10,0,0,0,0,0,1,62,0,0,0,0,0,74," 3,150,926 "
feb-19,14,0,0,0,0,0,3,57,0,0,0,0,0,74," 3,152,630 "
mar-19,17,0,0,0,0,0,4,52,0,0,1,0,0,74," 3,126,109 "
abr-19,19,0,0,0,0,0,6,47,0,0,1,0,0,74," 3,045,420 "
may-19,21,0,0,0,0,0,7,43,0,0,1,1,0,74," 3,046,536 "
jun-19,22,0,0,0,0,0,8,41,0,0,1,1,0,74," 3,038,834 "
jul-19,23,0,0,0,0,0,9,38,0,0,2,1,0,74," 3,053,180 "
ago-19,24,0,0,0,0,0,10,36,0,1,2,1,0,74," 3,001,789 "
sep-19,24,0,0,0,0,1,12,34,0,1,2,1,1,74," 2,993,629 "
oct-19,24,0,0,0,0,1,13,32,0,1,2,1,1,74," 2,986,125 "
nov-19,25,0,0,0,0,1,14,30,0,2,2,1,1,74," 2,918,583 "
dic-19,25,0,0,0,0,1,14,29,0,2,2,1,1,74," 2,896,987 "
ene-20,10,0,0,0,0,0,1,63,0,0,0,0,0,74," 3,400,605 "
feb-20,14,0,0,0,0,0,3,57,0,0,0,0,0,74," 3,408,558 "
mar-20,15,0,0,0,0,0,4,54,0,0,1,0,0,74," 3,540,176 "
abr-20,13,0,0,0,0,0,6,53,0,0,1,1,0,74," 3,810,671 "
may-20,13,0,0,0,0,0,8,51,0,0,1,1,0,74," 4,038,803 "
jun-20,15,0,0,0,0,0,9,48,0,0,1,1,0,74," 4,029,876 "
jul-20,16,0,0,0,0,0,10,45,0,0,1,1,0,74," 4,085,104 "
ago-20,18,0,0,0,0,0,12,42,0,0,1,1,0,74," 4,046,673 "
sep-20,18,0,0,0,0,0,13,39,0,1,1,1,0,74," 3,974,450 "
oct-20,19,0,0,0,0,0,15,36,0,1,1,1,0,74," 3,945,286 "
nov-20,20,0,0,0,0,0,16,34,0,1,1,1,0,74," 3,845,684 "
dic-20,20,1,0,0,0,0,18,32,0,1,1,1,0,74," 3,776,467 "
Vencidos +4,,,,,,,,,,,,,,,
ene-16,1,3,0,0,0,1,0,1,0,52,0,0,1,59," 1,932,379 "
feb-16,1,7,0,0,0,1,0,1,0,47,0,0,1,59," 1,958,938 "
mar-16,1,10,0,0,0,2,0,2,0,43,0,0,1,59," 1,991,765 "
abr-16,2,13,0,0,0,2,0,2,0,39,0,1,1,59," 2,065,615 "
may-16,2,16,0,0,0,2,0,2,0,34,1,1,1,59," 2,159,983 "
jun-16,2,22,0,0,0,2,0,3,0,28,1,1,1,59," 2,130,059 "
jul-16,3,26,0,0,0,2,0,3,0,24,1,1,1,59," 2,182,329 "
ago-16,3,28,0,0,0,2,0,3,0,21,1,1,1,59," 2,224,318 "
sep-16,3,31,0,0,0,3,0,3,0,18,1,1,1,59," 2,267,367 "
oct-16,3,34,0,0,0,3,0,3,0,15,1,1,1,59," 2,294,157 "
nov-16,3,37,0,0,0,3,0,3,0,12,1,1,1,59," 2,288,895 "
dic-16,4,39,0,0,0,3,0,3,0,10,1,0,0,59," 2,234,610 "
ene-17,1,2,0,0,0,0,0,1,0,63,0,0,1,68," 2,493,252 "
feb-17,1,5,0,0,0,0,0,1,0,59,0,0,1,68," 2,496,521 "
mar-17,1,9,0,0,0,0,0,2,0,54,0,0,1,68," 2,481,015 "
abr-17,2,13,0,0,0,1,0,2,0,48,0,1,1,68," 2,498,515 "
may-17,2,17,0,0,0,1,0,2,0,44,1,1,1,68," 2,545,399 "
jun-17,2,21,0,0,0,1,0,3,0,39,1,1,1,68," 2,562,677 "
jul-17,3,25,0,0,0,1,0,3,0,34,1,1,1,68," 2,558,347 "
ago-17,3,32,0,0,0,1,0,3,0,27,1,1,1,68," 2,424,764 "
sep-17,3,36,0,0,0,1,0,3,0,23,1,1,1,68," 2,409,510 "
oct-17,3,39,0,0,0,1,0,3,0,19,1,1,1,68," 2,404,114 "
nov-17,3,43,0,0,0,2,0,3,0,15,1,1,1,68," 2,382,514 "
dic-17,4,47,0,0,0,2,0,3,0,11,1,0,0,68," 2,258,391 "
ene-18,1,4,0,0,0,0,0,1,0,57,0,0,1,63," 2,353,799 "
feb-18,1,7,0,0,0,0,0,1,0,52,0,0,1,63," 2,325,808 "
mar-18,2,11,0,0,0,0,0,2,0,47,0,0,1,63," 2,274,811 "
abr-18,2,15,0,0,0,1,0,2,0,42,1,1,1,63," 2,259,143 "
may-18,2,18,0,0,0,1,0,3,0,37,1,1,1,63," 2,288,799 "
jun-18,3,21,0,0,0,1,0,3,0,33,1,1,1,63," 2,301,430 "
jul-18,3,25,0,0,0,1,0,3,0,29,1,1,1,63," 2,291,866 "
ago-18,3,31,0,0,0,1,0,3,0,23,1,1,1,63," 2,177,299 "
sep-18,3,34,0,0,0,1,0,3,0,20,1,1,1,63," 2,162,173 "
oct-18,3,37,0,0,0,1,0,3,0,17,1,1,1,63," 2,150,752 "
nov-18,4,39,0,0,0,1,0,3,0,14,1,1,1,63," 2,130,993 "
dic-18,4,43,0,0,0,2,0,3,0,10,1,0,0,63," 2,013,746 "
ene-19,1,3,0,0,0,0,0,1,0,50,0,0,0,55," 2,220,701 "
feb-19,1,6,0,0,0,0,0,1,0,46,0,0,1,55," 2,242,606 "
mar-19,1,9,0,0,0,1,0,2,0,42,0,0,0,55," 2,238,895 "
abr-19,2,12,0,0,0,1,0,2,0,38,0,0,0,55," 2,302,591 "
may-19,2,14,0,0,0,1,0,2,0,35,0,0,1,55," 2,378,105 "
jun-19,2,17,0,0,0,1,0,2,0,31,0,0,0,55," 2,413,423 "
jul-19,2,20,0,0,0,1,0,3,0,28,1,0,0,55," 2,396,565 "
ago-19,2,25,0,0,0,1,0,3,0,23,1,0,0,55," 2,297,434 "
sep-19,2,27,0,0,0,2,0,3,0,20,1,0,0,55," 2,294,394 "
oct-19,2,30,0,0,0,2,0,3,0,17,1,0,0,55," 2,290,208 "
nov-19,3,33,0,0,0,2,0,3,0,14,1,0,0,55," 2,253,314 "
dic-19,3,36,0,0,0,2,0,3,0,11,0,0,0,55," 2,131,611 "
ene-20,0,3,0,0,0,0,0,1,0,49,0,0,0,54," 2,336,484 "
feb-20,1,6,0,0,0,0,0,1,0,45,0,0,0,54," 2,338,233 "
mar-20,1,9,0,0,0,0,0,2,0,41,0,0,0,54," 2,317,967 "
abr-20,1,12,0,0,0,0,0,2,0,38,0,0,0,54," 2,386,396 "
may-20,1,15,0,0,0,1,0,2,0,34,0,0,0,54," 2,481,854 "
jun-20,1,18,0,0,0,1,0,3,0,31,0,0,0,54," 2,322,286 "
jul-20,2,21,0,0,0,1,0,3,0,27,0,0,0,54," 2,174,816 "
ago-20,2,26,0,0,0,1,0,3,0,22,0,0,0,54," 2,129,242 "
sep-20,2,29,0,0,0,1,0,3,0,19,0,0,0,54," 2,200,094 "
oct-20,2,31,0,0,0,1,0,3,0,16,0,0,0,54," 2,247,133 "
nov-20,2,33,0,0,0,1,0,3,0,13,0,0,0,54," 2,214,884 "
dic-20,3,36,0,0,0,1,0,3,0,10,0,0,0,54," 2,107,740 "
Vencidos 1,,,,,,,,,,,,,,,
ene-16,7,0,0,0,0,0,0,1,0,0,5,10,0,23," 976,588 "
feb-16,7,0,0,0,0,0,0,2,0,0,5,3,6,23," 1,045,747 "
mar-16,7,0,0,0,0,0,0,2,0,5,4,2,2,23," 1,037,251 "
abr-16,7,0,0,0,0,0,0,2,0,5,4,2,2,23," 968,215 "
may-16,7,1,0,0,0,0,0,3,0,6,3,2,2,23," 931,487 "
jun-16,7,1,0,0,0,1,0,3,0,6,3,2,1,23," 921,836 "
jul-16,7,1,0,0,0,1,0,3,0,6,2,1,1,23," 898,472 "
ago-16,7,1,0,0,0,1,0,3,0,7,2,1,1,23," 873,817 "
sep-16,7,1,0,0,0,1,0,3,0,7,2,1,1,23," 922,310 "
oct-16,7,1,0,0,0,1,0,3,0,7,2,1,1,23," 881,238 "
nov-16,7,1,0,0,0,1,0,3,0,7,2,1,1,23," 845,591 "
dic-16,8,1,0,0,0,1,0,3,0,7,2,1,1,23," 658,270 "
ene-17,7,0,0,0,0,0,0,1,0,0,5,8,0,21," 948,845 "
feb-17,7,0,0,0,0,0,0,2,0,0,4,3,5,21," 1,003,400 "
mar-17,7,0,0,0,0,0,0,2,0,4,4,2,2,21," 989,697 "
abr-17,7,0,0,0,0,0,0,2,0,5,3,2,2,21," 924,190 "
may-17,7,0,0,0,0,0,0,3,0,5,3,2,2,21," 898,351 "
jun-17,7,0,0,0,0,0,0,3,0,6,2,2,1,21," 906,966 "
jul-17,7,0,0,0,0,0,0,3,0,6,2,1,1,21," 877,002 "
ago-17,7,0,0,0,0,1,0,3,0,6,2,1,1,21," 872,356 "
sep-17,7,1,0,0,0,1,0,3,0,6,2,1,1,21," 921,489 "
oct-17,7,1,0,0,0,1,0,3,0,6,2,1,1,21," 862,065 "
nov-17,7,1,0,0,0,1,0,3,0,6,2,1,1,21," 810,422 "
dic-17,7,1,0,0,0,1,0,3,0,6,1,1,1,21," 636,689 "
ene-18,6,0,0,0,0,0,0,1,0,0,4,8,0,19," 886,017 "
feb-18,7,0,0,0,0,0,0,2,0,0,4,2,5,19," 947,705 "
mar-18,7,0,0,0,0,0,0,2,0,4,3,2,1,19," 933,053 "
abr-18,7,0,0,0,0,0,0,2,0,4,3,2,1,19," 872,256 "
may-18,7,0,0,0,0,0,0,2,0,4,2,1,1,19," 849,696 "
jun-18,7,0,0,0,0,0,0,2,0,5,2,1,1,19," 842,833 "
jul-18,7,0,0,0,0,0,0,3,0,5,2,1,1,19," 814,293 "
ago-18,7,0,0,0,0,1,0,3,0,5,2,1,1,19," 810,295 "
sep-18,7,0,0,0,0,1,0,3,0,5,2,1,1,19," 864,826 "
oct-18,7,1,0,0,0,1,0,3,0,5,2,1,1,19," 836,297 "
nov-18,7,1,0,0,0,1,0,3,0,5,2,1,1,19," 786,354 "
dic-18,7,1,0,0,0,1,0,2,0,5,1,1,1,19," 629,258 "
ene-19,6,0,0,0,0,0,0,1,0,0,3,8,0,18," 911,686 "
feb-19,6,0,0,0,0,0,0,1,0,0,3,2,5,18," 993,288 "
mar-19,6,0,0,0,0,0,0,2,0,4,3,2,1,18," 966,317 "
abr-19,6,0,0,0,0,0,0,2,0,4,2,2,1,18," 900,986 "
may-19,6,0,0,0,0,0,0,2,0,5,2,1,1,18," 841,447 "
jun-19,6,0,0,0,0,0,0,2,0,5,2,1,1,18," 823,937 "
jul-19,6,0,0,0,0,1,0,2,0,5,2,1,1,18," 804,647 "
ago-19,6,0,0,0,0,1,0,2,0,5,2,1,1,18," 796,597 "
sep-19,6,0,0,0,0,1,0,2,0,5,2,1,1,18," 817,722 "
oct-19,6,0,0,0,0,1,0,2,0,5,2,1,1,18," 833,598 "
nov-19,6,0,0,0,0,1,0,2,0,5,1,1,1,18," 752,814 "
dic-19,6,1,0,0,0,1,0,2,0,5,1,1,1,18," 582,929 "
ene-20,5,0,0,0,0,0,0,1,0,0,3,7,0,16," 852,985 "
feb-20,6,0,0,0,0,0,0,1,0,0,3,2,4,16," 914,598 "
mar-20,5,0,0,0,0,0,0,2,0,3,3,2,1,16," 928,451 "
abr-20,4,0,0,0,0,0,0,2,0,4,2,2,1,16," 1,171,843 "
may-20,4,0,0,0,0,0,0,3,0,4,2,1,1,16," 1,048,243 "
jun-20,5,0,0,0,0,0,0,3,0,4,2,1,1,16," 926,944 "
jul-20,5,0,0,0,0,0,0,3,0,4,1,1,1,16," 843,538 "
ago-20,5,0,0,0,0,0,0,3,0,4,1,1,1,16," 742,261 "
sep-20,5,0,0,0,0,0,0,3,0,5,1,1,1,16," 722,585 "
oct-20,5,0,0,0,0,0,0,3,0,5,1,1,1,16," 710,513 "
nov-20,5,0,0,0,0,1,0,3,0,5,1,1,1,16," 621,665 "
dic-20,5,1,0,0,0,1,0,3,0,4,1,1,1,16," 506,939 "
Vencidos 2,,,,,,,,,,,,,,,
ene-16,2,0,0,0,0,0,0,1,0,0,1,4,7,16," 502,391 "
feb-16,2,0,0,0,0,0,0,1,0,5,1,3,2,16," 613,214 "
mar-16,2,1,0,0,0,0,0,1,0,6,1,3,1,16," 680,105 "
abr-16,3,1,0,0,0,0,0,1,0,6,1,2,1,16," 635,967 "
may-16,3,1,0,0,0,0,0,2,0,6,1,2,1,16," 593,780 "
jun-16,3,1,0,0,0,1,0,2,0,6,1,1,1,16," 566,646 "
jul-16,3,2,0,0,0,1,0,2,0,6,1,1,1,16," 555,272 "
ago-16,3,2,0,0,0,1,0,2,0,6,1,1,1,16," 549,703 "
sep-16,3,2,0,0,0,1,0,2,0,5,1,1,1,16," 545,537 "
oct-16,3,2,0,0,0,1,0,2,0,5,1,1,1,16," 552,117 "
nov-16,3,3,0,0,0,1,0,2,0,5,1,1,1,16," 526,044 "
dic-16,3,3,0,0,0,1,0,2,0,5,1,1,1,16," 427,508 "
ene-17,2,0,0,0,0,0,0,1,0,0,1,3,7,14," 472,068 "
feb-17,2,0,0,0,0,0,0,1,0,5,1,2,2,14," 580,447 "
mar-17,2,0,0,0,0,0,0,1,0,5,1,2,1,14," 624,269 "
abr-17,3,0,0,0,0,0,0,1,0,6,1,2,1,14," 594,872 "
may-17,3,0,0,0,0,0,0,2,0,5,1,1,1,14," 550,173 "
jun-17,3,1,0,0,0,0,0,2,0,5,1,1,1,14," 544,374 "
jul-17,3,1,0,0,0,0,0,2,0,5,1,1,1,14," 537,270 "
ago-17,3,1,0,0,0,1,0,2,0,5,1,1,1,14," 532,534 "
sep-17,3,1,0,0,0,1,0,2,0,5,1,1,1,14," 540,280 "
oct-17,3,1,0,0,0,1,0,2,0,5,1,1,1,14," 557,354 "
nov-17,3,1,0,0,0,1,0,2,0,5,1,1,1,14," 530,193 "
dic-17,3,2,0,0,0,1,0,2,0,5,1,1,1,14," 416,325 "
ene-18,2,0,0,0,0,0,0,1,0,0,1,3,6,12," 442,703 "
feb-18,2,0,0,0,0,0,0,1,0,4,1,2,2,12," 520,848 "
mar-18,2,0,0,0,0,0,0,1,0,5,1,2,1,12," 581,952 "
abr-18,3,0,0,0,0,0,0,1,0,5,1,1,1,12," 558,883 "
may-18,3,1,0,0,0,0,0,1,0,5,1,1,1,12," 516,191 "
jun-18,3,1,0,0,0,0,0,2,0,4,1,1,1,12," 508,311 "
jul-18,3,1,0,0,0,0,0,2,0,4,1,1,1,12," 486,649 "
ago-18,3,1,0,0,0,1,0,2,0,4,1,1,1,12," 475,113 "
sep-18,3,1,0,0,0,1,0,1,0,4,1,1,1,12," 482,857 "
oct-18,3,1,0,0,0,1,0,1,0,4,1,1,1,12," 513,514 "
nov-18,3,1,0,0,0,1,0,1,0,4,1,1,1,12," 480,810 "
dic-18,3,1,0,0,0,1,0,1,0,4,1,0,0,12," 386,630 "
ene-19,2,0,0,0,0,0,0,0,0,0,1,2,6,11," 444,215 "
feb-19,2,0,0,0,0,0,0,1,0,4,1,2,2,11," 533,691 "
mar-19,2,0,0,0,0,0,0,1,0,5,1,1,1,11," 615,127 "
abr-19,2,0,0,0,0,0,0,1,0,5,1,1,1,11," 583,848 "
may-19,2,0,0,0,0,0,0,1,0,5,1,1,1,11," 518,119 "
jun-19,2,0,0,0,0,0,0,1,0,5,1,1,1,11," 488,706 "
jul-19,2,0,0,0,0,1,0,1,0,4,1,1,1,11," 476,006 "
ago-19,2,1,0,0,0,1,0,1,0,4,1,1,0,11," 471,491 "
sep-19,2,1,0,0,0,1,0,1,0,4,1,1,0,11," 474,793 "
oct-19,2,1,0,0,0,1,0,1,0,4,1,1,0,11," 484,766 "
nov-19,2,1,0,0,0,1,0,1,0,4,1,0,0,11," 472,484 "
dic-19,3,1,0,0,0,1,0,1,0,4,0,0,0,11," 365,089 "
ene-20,1,0,0,0,0,0,0,0,0,0,1,2,5,10," 407,878 "
feb-20,2,0,0,0,0,0,0,1,0,4,1,2,1,10," 487,063 "
mar-20,2,0,0,0,0,0,0,1,0,4,1,1,1,10," 550,662 "
abr-20,1,0,0,0,0,0,0,1,0,5,1,1,1,10," 643,620 "
may-20,1,0,0,0,0,0,0,1,0,5,1,1,1,10," 723,142 "
jun-20,2,0,0,0,0,0,0,2,0,4,1,1,1,10," 658,924 "
jul-20,2,0,0,0,0,0,0,2,0,4,1,1,0,10," 590,849 "
ago-20,2,1,0,0,0,0,0,2,0,4,0,1,0,10," 528,389 "
sep-20,2,1,0,0,0,0,0,2,0,4,0,0,0,10," 462,059 "
oct-20,2,1,0,0,0,0,0,2,0,4,0,0,0,10," 427,337 "
nov-20,2,1,0,0,0,0,0,2,0,4,0,0,0,10," 390,916 "
dic-20,2,1,0,0,0,0,0,2,0,4,0,0,0,10," 310,004 "
Vencidos 3,,,,,,,,,,,,,,,
ene-16,1,0,0,0,0,0,0,0,0,7,0,1,5,15," 443,582 "
feb-16,1,1,0,0,0,0,0,1,0,7,0,1,4,15," 432,896 "
mar-16,1,1,0,0,0,0,0,1,0,7,1,1,3,15," 509,082 "
abr-16,1,1,0,0,0,0,0,1,0,6,1,1,3,15," 545,122 "
