index,Activos Sin Vencido,Clientes Z,Clientes Generados,Nunca +15,Nunca 0-15,Quebrantados,Saldados +15,Saldados 0-15,Sin Datos,Vencidos +4,Vencidos 1,Vencidos 2,Vencidos 3,Total General,Total Clientes
Activos Sin Vencido,,,,,,,,,,,,,,,
ene-17,0,0,0,0,0,66,0,0,0,0,0,0,0,66," 2,342,833 "
feb-17,0,0,0,0,0,66,0,0,0,0,0,0,0,66," 2,339,509 "
mar-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,371,224 "
abr-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,406,633 "
may-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,435,002 "
jun-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,460,536 "
jul-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,484,189 "
ago-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,511,998 "
sep-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,539,873 "
oct-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,567,926 "
nov-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,593,927 "
dic-17,0,0,0,0,0,65,0,0,0,0,0,0,0,66," 2,668,810 "
ene-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,756,098 "
feb-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,752,633 "
mar-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,788,066 "
abr-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,828,301 "
may-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,858,682 "
jun-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,884,662 "
jul-18,0,0,0,0,0,73,0,0,0,0,0,0,0,73," 2,908,723 "
ago-18,0,0,0,0,0,72,0,0,0,0,0,0,0,73," 2,937,645 "
sep-18,0,0,0,0,0,72,0,0,0,0,0,0,0,73," 2,967,869 "
oct-18,0,0,0,0,0,72,0,0,0,0,0,0,0,73," 2,997,803 "
nov-18,0,0,0,0,0,72,0,0,0,0,0,0,0,73," 3,025,373 "
dic-18,0,0,0,0,0,72,0,0,0,0,0,0,0,73," 3,110,483 "
ene-19,0,0,0,0,0,80,0,0,0,0,0,0,0,80," 3,224,782 "
feb-19,0,0,0,0,0,80,0,0,0,0,0,0,0,80," 3,221,010 "
mar-19,0,0,0,0,0,80,0,0,0,0,0,0,0,80," 3,272,790 "
abr-19,0,0,0,0,0,80,0,0,0,0,0,0,0,80," 3,268,725 "
may-19,0,0,0,0,0,80,0,0,0,0,0,0,0,80," 3,305,179 "
jun-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,337,993 "
jul-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,408,218 "
ago-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,440,845 "
sep-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,475,099 "
oct-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,506,827 "
nov-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,538,141 "
dic-19,0,0,0,0,0,79,0,0,0,0,0,0,0,80," 3,617,129 "
ene-20,0,0,0,0,0,86,0,0,0,0,0,0,0,86," 3,727,742 "
feb-20,0,0,0,0,0,86,0,0,0,0,0,0,0,86," 3,723,539 "
mar-20,0,0,0,0,0,86,0,0,0,0,0,0,0,86," 3,763,157 "
